participant,accuracy,precision,recall,f1-score
3I6EY,0.560729643501179,0.7585885641085361,0.18040323474022377,0.29148674348361114
6HARB,0.6087390761548065,0.563630095004597,0.46666455214412583,0.5105843975569129
