participant,video_id,second,band,frontal_asymmetry,parietal_mean,negativity_rating,positivity_rating,net_predisposition_rating
AY9SI,mar,0,delta,0.1808945087849696,1.6697033046910246,4.365625,6.503125,3.5781250000000004
AY9SI,mar,1,delta,0.2559894935765916,1.7828367638703653,4.365625,6.503125,3.5781250000000004
AY9SI,mar,2,delta,0.06466982208542271,2.0140503272395427,4.365625,6.503125,3.5781250000000004
AY9SI,mar,3,delta,-0.221382635318349,2.225556262929641,4.365625,6.503125,3.5781250000000004
AY9SI,mar,4,delta,-0.27587631173810534,2.337877895755329,4.365625,6.503125,3.5781250000000004
AY9SI,mar,5,delta,0.02130156997339916,2.3376760339218396,4.365625,6.503125,3.5781250000000004
AY9SI,mar,6,delta,0.4796089346697108,2.299634260720937,4.365625,6.503125,3.5781250000000004
AY9SI,mar,7,delta,0.7631492001492017,2.3001931485794946,4.365625,6.503125,3.5781250000000004
AY9SI,mar,8,delta,0.6293467028502471,2.3666499767894402,4.365625,6.503125,3.5781250000000004
AY9SI,mar,9,delta,0.16532945910189412,2.480108950964717,4.365625,6.503125,3.5781250000000004
AY9SI,mar,10,delta,-0.2867363152527631,2.5865445093552633,4.365625,6.503125,3.5781250000000004
AY9SI,mar,11,delta,-0.39317039730330006,2.623757496524232,4.365625,6.503125,3.5781250000000004
AY9SI,mar,12,delta,-0.11813029464220093,2.5725287798030436,4.365625,6.503125,3.5781250000000004
AY9SI,mar,13,delta,0.19062573067877642,2.4843506916496767,4.365625,6.503125,3.5781250000000004
AY9SI,mar,14,delta,0.16724075903634095,2.4685782107492305,4.365625,6.503125,3.5781250000000004
AY9SI,mar,15,delta,-0.16832262228646622,2.547812268370219,4.365625,6.503125,3.5781250000000004
AY9SI,mar,16,delta,-0.47089029085438194,2.6125964545591116,4.365625,6.503125,3.5781250000000004
AY9SI,mar,17,delta,-0.4096920915368394,2.5455440753529333,4.365625,6.503125,3.5781250000000004
AY9SI,mar,18,delta,0.004170156985236151,2.346617776614415,4.365625,6.503125,3.5781250000000004
AY9SI,mar,19,delta,0.3600032204095871,2.1696946220360127,4.365625,6.503125,3.5781250000000004
AY9SI,mar,20,delta,0.24633211749189843,2.160982114210174,4.365625,6.503125,3.5781250000000004
AY9SI,mar,21,delta,-0.27415634226219887,2.2803874485278426,4.365625,6.503125,3.5781250000000004
AY9SI,mar,22,delta,-0.827948501214856,2.332275078289945,4.365625,6.503125,3.5781250000000004
AY9SI,mar,23,delta,-1.0953829234294141,2.1748119968846282,4.365625,6.503125,3.5781250000000004
AY9SI,mar,24,delta,-1.004276698511815,1.9161613792747278,4.365625,6.503125,3.5781250000000004
AY9SI,mar,25,delta,-0.7539503056801422,1.8227922324411083,4.365625,6.503125,3.5781250000000004
AY9SI,mar,26,delta,-0.583256605746949,1.9632750376634038,4.365625,6.503125,3.5781250000000004
AY9SI,mar,27,delta,-0.5700052106574516,2.152262986338447,4.365625,6.503125,3.5781250000000004
AY9SI,mar,28,delta,-0.6617606544506436,2.195951859221623,4.365625,6.503125,3.5781250000000004
AY9SI,mar,29,delta,-0.7641753247329426,2.1050422039461765,4.365625,6.503125,3.5781250000000004
AY9SI,mar,30,delta,-0.8028241080215168,2.0426994375568257,4.365625,6.503125,3.5781250000000004
