participant,video_id,second,band,frontal_asymmetry,parietal_mean,negativity_rating,positivity_rating,net_predisposition_rating
RSC25,bbs,0,delta,-1.1071480436815255,1.7825545794394404,8.378125,2.153125,8.275
RSC25,bbs,1,delta,-1.2969609343670023,1.6816152152259756,8.378125,2.153125,8.275
RSC25,bbs,2,delta,-1.3712360599724578,1.6499191800035438,8.378125,2.153125,8.275
RSC25,bbs,3,delta,-1.3305518479639873,1.741764309259637,8.378125,2.153125,8.275
RSC25,bbs,4,delta,-1.3324426786836452,1.8623834796226302,8.378125,2.153125,8.275
RSC25,bbs,5,delta,-1.4389022558212503,1.8603314621792575,8.378125,2.153125,8.275
RSC25,bbs,6,delta,-1.5281215037705125,1.7494455791522903,8.378125,2.153125,8.275
RSC25,bbs,7,delta,-1.4863064667411416,1.694868068338042,8.378125,2.153125,8.275
RSC25,bbs,8,delta,-1.3380213087452768,1.8156425918702968,8.378125,2.153125,8.275
RSC25,bbs,9,delta,-1.1930557483036408,2.05271438143168,8.378125,2.153125,8.275
RSC25,bbs,10,delta,-1.0439262219913608,2.2111978748393013,8.378125,2.153125,8.275
RSC25,bbs,11,delta,-0.7545034432522497,2.191819603737285,8.378125,2.153125,8.275
RSC25,bbs,12,delta,-0.26227546457358475,2.057903356675504,8.378125,2.153125,8.275
RSC25,bbs,13,delta,0.2520891573045623,1.9247666894221032,8.378125,2.153125,8.275
RSC25,bbs,14,delta,0.5031864318110497,1.8761588086065446,8.378125,2.153125,8.275
RSC25,bbs,15,delta,0.38120759362246925,1.8964736074720192,8.378125,2.153125,8.275
RSC25,bbs,16,delta,0.01005427853162777,1.9159325534216363,8.378125,2.153125,8.275
RSC25,bbs,17,delta,-0.35138623180483064,1.8915761845169192,8.378125,2.153125,8.275
RSC25,bbs,18,delta,-0.4626401356767482,1.7969984546020323,8.378125,2.153125,8.275
RSC25,bbs,19,delta,-0.3413125738993752,1.66745473410784,8.378125,2.153125,8.275
RSC25,bbs,20,delta,-0.23036711808905386,1.5972347718152924,8.378125,2.153125,8.275
RSC25,bbs,21,delta,-0.3276916012764617,1.6366347960897314,8.378125,2.153125,8.275
RSC25,bbs,22,delta,-0.5911253704196904,1.7401448544612965,8.378125,2.153125,8.275
RSC25,bbs,23,delta,-0.76526711708394,1.8121308918155266,8.378125,2.153125,8.275
RSC25,bbs,24,delta,-0.6273759073866831,1.8011363292729765,8.378125,2.153125,8.275
RSC25,bbs,25,delta,-0.2939881864397653,1.7391541958764423,8.378125,2.153125,8.275
RSC25,bbs,26,delta,-0.12139928603219596,1.6919248370800606,8.378125,2.153125,8.275
RSC25,bbs,27,delta,-0.3316487906555723,1.669129125917451,8.378125,2.153125,8.275
RSC25,bbs,28,delta,-0.8681902063051263,1.6626173905504604,8.378125,2.153125,8.275
RSC25,bbs,29,delta,-1.4604893450875818,1.7118911636521486,8.378125,2.153125,8.275
RSC25,bbs,30,delta,-1.798772210034789,1.8319223617250144,8.378125,2.153125,8.275
RSC25,bbs,31,delta,-1.706387370766004,1.945897102925945,8.378125,2.153125,8.275
RSC25,bbs,32,delta,-1.2028178201154034,1.9537871210611515,8.378125,2.153125,8.275
RSC25,bbs,33,delta,-0.5914182865826032,1.8501069369269385,8.378125,2.153125,8.275
RSC25,bbs,34,delta,-0.30967353223722727,1.7893203561201438,8.378125,2.153125,8.275
RSC25,bbs,35,delta,-0.510539840302195,1.935245217527529,8.378125,2.153125,8.275
RSC25,bbs,36,delta,-0.9101843135819423,2.2090914307896163,8.378125,2.153125,8.275
RSC25,bbs,37,delta,-1.0256311929942385,2.332852869866175,8.378125,2.153125,8.275
RSC25,bbs,38,delta,-0.6785441156398235,2.175717344881936,8.378125,2.153125,8.275
RSC25,bbs,39,delta,-0.26474307778807216,1.9045332355359217,8.378125,2.153125,8.275
RSC25,bbs,40,delta,-0.2822179744279838,1.776318506765124,8.378125,2.153125,8.275
RSC25,bbs,41,delta,-0.7542598896796249,1.8818246546497441,8.378125,2.153125,8.275
RSC25,bbs,42,delta,-1.235740423657922,2.059904969306499,8.378125,2.153125,8.275
RSC25,bbs,43,delta,-1.249225046413391,2.1297665079542183,8.378125,2.153125,8.275
RSC25,bbs,44,delta,-0.7713824116973942,2.0752718666407803,8.378125,2.153125,8.275
RSC25,bbs,45,delta,-0.23215479893166968,1.96890523793174,8.378125,2.153125,8.275
RSC25,bbs,46,delta,0.07005965537148628,1.90135244789534,8.378125,2.153125,8.275
RSC25,bbs,47,delta,0.18091166262213454,1.9384417840769927,8.378125,2.153125,8.275
RSC25,bbs,48,delta,0.2662446343624474,2.0976562332128608,8.378125,2.153125,8.275
RSC25,bbs,49,delta,0.4158784634436046,2.334071482706942,8.378125,2.153125,8.275
RSC25,bbs,50,delta,0.5325169498205475,2.448965989266089,8.378125,2.153125,8.275
RSC25,bbs,51,delta,0.5278372430233569,2.243310320761974,8.378125,2.153125,8.275
RSC25,bbs,52,delta,0.48356999065990136,1.8717976884711645,8.378125,2.153125,8.275
RSC25,bbs,53,delta,0.5450890033597069,1.6675453878519777,8.378125,2.153125,8.275
RSC25,bbs,54,delta,0.6938038979720744,1.773765896138682,8.378125,2.153125,8.275
RSC25,bbs,55,delta,0.7585964215922649,2.038707677237957,8.378125,2.153125,8.275
RSC25,bbs,56,delta,0.6874141059076508,2.1494844865865055,8.378125,2.153125,8.275
RSC25,bbs,57,delta,0.6388749827137685,2.0055114631340376,8.378125,2.153125,8.275
RSC25,bbs,58,delta,0.7348170331302015,1.8488463136523552,8.378125,2.153125,8.275
RSC25,bbs,59,delta,0.2418713272489455,0.5231961909283238,8.378125,2.153125,8.275
RSC25,bbs,0,theta,-1.34700042949639,9.599418170915603,8.378125,2.153125,8.275
RSC25,bbs,1,theta,-1.3866468349504766,9.92404341120002,8.378125,2.153125,8.275
RSC25,bbs,2,theta,-1.0436080729956707,10.046603605663783,8.378125,2.153125,8.275
RSC25,bbs,3,theta,-0.8886374504289964,9.870556125958682,8.378125,2.153125,8.275
RSC25,bbs,4,theta,-1.244618102399082,9.604248490272361,8.378125,2.153125,8.275
RSC25,bbs,5,theta,-1.7507197471658387,9.544720367228463,8.378125,2.153125,8.275
RSC25,bbs,6,theta,-1.7812993302437325,9.766642115148029,8.378125,2.153125,8.275
RSC25,bbs,7,theta,-0.9233621405194707,10.077220631577374,8.378125,2.153125,8.275
RSC25,bbs,8,theta,0.3426063679093918,10.25309400394396,8.378125,2.153125,8.275
RSC25,bbs,9,theta,1.0533906528426868,10.231674882499984,8.378125,2.153125,8.275
RSC25,bbs,10,theta,0.9001776367414926,10.043683113943871,8.378125,2.153125,8.275
RSC25,bbs,11,theta,0.2833266030109627,9.820583314648582,8.378125,2.153125,8.275
RSC25,bbs,12,theta,-0.25551179494735976,9.690556587559978,8.378125,2.153125,8.275
RSC25,bbs,13,theta,-0.38528267437803443,9.715523328255198,8.378125,2.153125,8.275
RSC25,bbs,14,theta,-0.23883327887234707,9.939864352422742,8.378125,2.153125,8.275
RSC25,bbs,15,theta,-0.22108792813773626,10.260014354687897,8.378125,2.153125,8.275
RSC25,bbs,16,theta,-0.4893425260592341,10.540962620676162,8.378125,2.153125,8.275
RSC25,bbs,17,theta,-1.0653272656009491,10.729624843384794,8.378125,2.153125,8.275
RSC25,bbs,18,theta,-1.6158807461768259,10.775749098316375,8.378125,2.153125,8.275
RSC25,bbs,19,theta,-1.6314166955608407,10.654899155986339,8.378125,2.153125,8.275
RSC25,bbs,20,theta,-1.0134480198979698,10.451813232181241,8.378125,2.153125,8.275
RSC25,bbs,21,theta,-0.24421794869410718,10.240846334016535,8.378125,2.153125,8.275
RSC25,bbs,22,theta,0.029137142642230884,10.00526308817636,8.378125,2.153125,8.275
RSC25,bbs,23,theta,-0.5045500646558256,9.695521351401155,8.378125,2.153125,8.275
RSC25,bbs,24,theta,-1.5265493407800346,9.324458455723967,8.378125,2.153125,8.275
RSC25,bbs,25,theta,-2.3143014431854247,9.026295670222279,8.378125,2.153125,8.275
RSC25,bbs,26,theta,-2.438755177088993,8.968714234419588,8.378125,2.153125,8.275
RSC25,bbs,27,theta,-2.0950453284195767,9.127724286829118,8.378125,2.153125,8.275
RSC25,bbs,28,theta,-1.8223429348839773,9.272822267137858,8.378125,2.153125,8.275
RSC25,bbs,29,theta,-2.0575416562792963,9.275414383357846,8.378125,2.153125,8.275
RSC25,bbs,30,theta,-2.5791112564447936,9.145871496946521,8.378125,2.153125,8.275
RSC25,bbs,31,theta,-2.7207195252954683,9.006927047994422,8.378125,2.153125,8.275
RSC25,bbs,32,theta,-2.1722667131102114,8.939307802923661,8.378125,2.153125,8.275
RSC25,bbs,33,theta,-1.218444123378621,8.854501142237526,8.378125,2.153125,8.275
RSC25,bbs,34,theta,-0.5272480264803132,8.717825993566045,8.378125,2.153125,8.275
RSC25,bbs,35,theta,-0.5784423752577705,8.638932819957333,8.378125,2.153125,8.275
RSC25,bbs,36,theta,-1.202974112600181,8.720535773006997,8.378125,2.153125,8.275
RSC25,bbs,37,theta,-1.8204609649231305,8.899640909545793,8.378125,2.153125,8.275
RSC25,bbs,38,theta,-2.1291225474650854,8.987980220726453,8.378125,2.153125,8.275
RSC25,bbs,39,theta,-2.2228249402622513,8.906249367671421,8.378125,2.153125,8.275
RSC25,bbs,40,theta,-2.2620842938746986,8.894917354867044,8.378125,2.153125,8.275
RSC25,bbs,41,theta,-2.286114647418893,9.203254007090788,8.378125,2.153125,8.275
RSC25,bbs,42,theta,-2.189123018032184,9.749238414923411,8.378125,2.153125,8.275
RSC25,bbs,43,theta,-1.9216978693609148,10.117105420733687,8.378125,2.153125,8.275
RSC25,bbs,44,theta,-1.586893429363041,10.048312690368764,8.378125,2.153125,8.275
RSC25,bbs,45,theta,-1.1628490777664968,9.709510723143724,8.378125,2.153125,8.275
RSC25,bbs,46,theta,-0.7381295265678194,9.422455361926353,8.378125,2.153125,8.275
RSC25,bbs,47,theta,-0.6775742910892593,9.343137576860435,8.378125,2.153125,8.275
RSC25,bbs,48,theta,-1.1303725164656697,9.407988370003231,8.378125,2.153125,8.275
RSC25,bbs,49,theta,-1.7294580782504854,9.495345801957669,8.378125,2.153125,8.275
RSC25,bbs,50,theta,-1.7841222398431853,9.612649416873882,8.378125,2.153125,8.275
RSC25,bbs,51,theta,-1.1088495426851352,9.897832880743026,8.378125,2.153125,8.275
RSC25,bbs,52,theta,-0.3592163768991945,10.26857253568555,8.378125,2.153125,8.275
RSC25,bbs,53,theta,-0.2816273889466938,10.488570232655476,8.378125,2.153125,8.275
RSC25,bbs,54,theta,-0.7946494124508714,10.528250530661671,8.378125,2.153125,8.275
RSC25,bbs,55,theta,-1.0254212649831675,10.509149966033476,8.378125,2.153125,8.275
RSC25,bbs,56,theta,-0.5577566743320439,10.57203114474043,8.378125,2.153125,8.275
RSC25,bbs,57,theta,0.13909665886673572,10.614202052054976,8.378125,2.153125,8.275
RSC25,bbs,58,theta,0.39124408944170597,10.377620864907586,8.378125,2.153125,8.275
RSC25,bbs,59,theta,0.06123045102678004,2.863170084601235,8.378125,2.153125,8.275
RSC25,bbs,0,alpha,-0.5192850389532921,13.023090414945102,8.378125,2.153125,8.275
RSC25,bbs,1,alpha,0.7246866124146756,13.148339894233168,8.378125,2.153125,8.275
RSC25,bbs,2,alpha,0.804807149837151,13.268033644616672,8.378125,2.153125,8.275
RSC25,bbs,3,alpha,-0.0850924705514835,13.301341240515093,8.378125,2.153125,8.275
RSC25,bbs,4,alpha,-0.8130074068372473,13.25891661206627,8.378125,2.153125,8.275
RSC25,bbs,5,alpha,-0.678411580736368,13.233475728241228,8.378125,2.153125,8.275
RSC25,bbs,6,alpha,-0.11535647800298854,13.211597809608278,8.378125,2.153125,8.275
RSC25,bbs,7,alpha,0.0692291304299335,13.035931287071225,8.378125,2.153125,8.275
RSC25,bbs,8,alpha,0.10090775726716217,12.5471122001108,8.378125,2.153125,8.275
RSC25,bbs,9,alpha,0.7206353220215114,11.816681087653965,8.378125,2.153125,8.275
RSC25,bbs,10,alpha,1.8455861385626804,11.183259935244386,8.378125,2.153125,8.275
RSC25,bbs,11,alpha,2.637638576419672,10.92664024215453,8.378125,2.153125,8.275
RSC25,bbs,12,alpha,2.4944513380126576,11.03943676763161,8.378125,2.153125,8.275
