participant,gender,video_id,second,band,frontal_asymmetry,parietal_mean,negativity_rating,positivity_rating,net_predisposition_rating
UVBY3,Male,dph,0,delta,0.6190892334913531,9.631230892480966,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,1,delta,0.7141642259517882,8.309555443311428,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,2,delta,0.4788779534308656,7.463662043128991,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,3,delta,0.265860312185465,8.276858183391248,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,4,delta,0.15147541794877384,9.98570123345388,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,5,delta,-0.06193242699600887,11.04681439677271,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,6,delta,-0.22228251511346464,10.862702707307768,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,7,delta,-0.1590998994727908,10.19100783383486,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,8,delta,-0.020689237210390843,9.95162220029685,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,9,delta,-0.06649523929254997,10.119837682922356,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,10,delta,-0.3373279955371977,10.142729326882844,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,11,delta,-0.6167258211774449,9.965936333017751,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,12,delta,-0.661768643235769,9.890415375144656,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,13,delta,-0.47431497739440154,9.891007956147995,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,14,delta,-0.3894432474979208,9.64144796217341,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,15,delta,-0.6427502189175076,8.983625011894173,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,16,delta,-1.0811434949907088,8.484449609422155,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,17,delta,-1.3068638541402162,8.912464427378469,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,18,delta,-1.1521605995110598,10.028969961009876,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,19,delta,-0.8360380422146871,10.610296092190131,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,20,delta,-0.5249206512756786,9.895381098845295,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,21,delta,-0.3392388525926542,8.400593061884944,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,22,delta,-0.32775493981691994,7.429654124647769,6.418749999999999,3.5125,7.384374999999999
UVBY3,Male,dph,23,delta,-0.24800234386785913,7.712639685790286,6.418749999999999,3.5125,7.384374999999999
