participant,video_id,band,frontal_asymmetry,parietal_mean,negativity_rating,positivity_rating,net_predisposition_rating,negativity_type,positivity_type,net_predisposition_type
AY9SI,cah,beta,1.526430270020505,40.6280320082204,6.71875,5.359375,7.328125,HN,HP,HNP
AY9SI,cah,gamma,-0.6765399692080507,35.12194850874708,6.71875,5.359375,7.328125,HN,HP,HNP
AY9SI,bbs,delta,-0.5817937068972843,1.7245781115120002,7.478124999999999,3.840625,7.31875,HN,LP,HNP
AY9SI,bbs,theta,-0.006996624523239348,10.103391889090943,7.478124999999999,3.840625,7.31875,HN,LP,HNP
AY9SI,bbs,alpha,1.3678255045352117,11.670688085958513,7.478124999999999,3.840625,7.31875,HN,LP,HNP
AY9SI,bbs,beta,-1.4452911830914417,39.621727138131526,7.478124999999999,3.840625,7.31875,HN,LP,HNP
AY9SI,bbs,gamma,0.3705335877059568,35.39872934408926,7.478124999999999,3.840625,7.31875,HN,LP,HNP
AY9SI,mcm,delta,-0.13155370669050548,2.141841516973339,2.7625,7.1875,5.734375,LN,HP,HNP
AY9SI,mcm,theta,-0.8155571935826114,10.51171142024629,2.7625,7.1875,5.734375,LN,HP,HNP
AY9SI,mcm,alpha,1.678724465417604,12.266521719274671,2.7625,7.1875,5.734375,LN,HP,HNP
AY9SI,mcm,beta,-3.5447455277693223,38.17220202046552,2.7625,7.1875,5.734375,LN,HP,HNP
AY9SI,mcm,gamma,2.586487553512974,34.342720908668156,2.7625,7.1875,5.734375,LN,HP,HNP
AY9SI,bls,delta,0.05242537791279567,2.2418506096108293,2.3875,8.284375,3.5125,LN,HP,LNP
AY9SI,bls,theta,0.14476080316534734,10.000222080079219,2.3875,8.284375,3.5125,LN,HP,LNP
AY9SI,bls,alpha,-0.23152593493732532,11.718603305806013,2.3875,8.284375,3.5125,LN,HP,LNP
AY9SI,bls,beta,1.5080841024375573,39.774997517452476,2.3875,8.284375,3.5125,LN,HP,LNP
AY9SI,bls,gamma,-1.3215731948431824,34.879357553708346,2.3875,8.284375,3.5125,LN,HP,LNP
AY9SI,jmi,delta,-0.18736861260863824,2.372531047439342,2.528125,8.153125,2.2281250000000004,LN,HP,LNP
AY9SI,jmi,theta,-0.7379908067155814,10.785548414082333,2.528125,8.153125,2.2281250000000004,LN,HP,LNP
AY9SI,jmi,alpha,-1.3352607102481482,11.862597490641255,2.528125,8.153125,2.2281250000000004,LN,HP,LNP
AY9SI,jmi,beta,-0.04747488598498251,38.13063087065315,2.528125,8.153125,2.2281250000000004,LN,HP,LNP
AY9SI,jmi,gamma,2.1597052763584372,34.95263093284712,2.528125,8.153125,2.2281250000000004,LN,HP,LNP
AY9SI,ndp,delta,0.16253177316100054,3.0813076411239804,3.240625,7.31875,6.371875,LN,HP,HNP
AY9SI,ndp,theta,-0.08752906121021731,10.424414515598713,3.240625,7.31875,6.371875,LN,HP,HNP
AY9SI,ndp,alpha,1.6392174402004613,12.321255367248476,3.240625,7.31875,6.371875,LN,HP,HNP
AY9SI,ndp,beta,-1.649640745348826,36.81895845156647,3.240625,7.31875,6.371875,LN,HP,HNP
AY9SI,ndp,gamma,-0.17167016328166085,34.92441247667158,3.240625,7.31875,6.371875,LN,HP,HNP
AY9SI,ser,delta,0.01109114830368152,1.8752315101387862,3.465625,7.6375,4.225,LN,HP,LNP
AY9SI,ser,theta,0.2936149425227885,9.833697870789166,3.465625,7.6375,4.225,LN,HP,LNP
AY9SI,ser,alpha,-0.053771324589479974,11.241522830705708,3.465625,7.6375,4.225,LN,HP,LNP
AY9SI,ser,beta,-0.9618868243247931,40.049524513258206,3.465625,7.6375,4.225,LN,HP,LNP
AY9SI,ser,gamma,0.9546097739785111,35.388205448553336,3.465625,7.6375,4.225,LN,HP,LNP
AY9SI,goc,delta,-0.069822241234208,1.9933670886899018,7.50625,2.621875,8.275,HN,LP,HNP
AY9SI,goc,theta,-1.234041832298212,9.802091735283344,7.50625,2.621875,8.275,HN,LP,HNP
AY9SI,goc,alpha,0.3038709619052895,11.909640513338914,7.50625,2.621875,8.275,HN,LP,HNP
AY9SI,goc,beta,-1.3803405020755193,39.39274605475986,7.50625,2.621875,8.275,HN,LP,HNP
AY9SI,goc,gamma,2.1315041156008405,35.56217998170681,7.50625,2.621875,8.275,HN,LP,HNP
AY9SI,jbg,delta,0.20968446197775004,2.245922969746563,6.634375,4.834375,6.240625,HN,LP,HNP
AY9SI,jbg,theta,0.8969797093931415,8.890202392328153,6.634375,4.834375,6.240625,HN,LP,HNP
AY9SI,jbg,alpha,0.08998206518749186,12.552013888612109,6.634375,4.834375,6.240625,HN,LP,HNP
AY9SI,jbg,beta,-0.836876101139282,40.63483408963338,6.634375,4.834375,6.240625,HN,LP,HNP
AY9SI,jbg,gamma,-0.1481944518126852,34.22980337222407,6.634375,4.834375,6.240625,HN,LP,HNP
AY9SI,tsd,delta,-0.3077408992963693,2.067769295641634,2.640625,6.390625,3.784375,LN,HP,LNP
AY9SI,tsd,theta,0.20969077581754902,10.094440999506741,2.640625,6.390625,3.784375,LN,HP,LNP
AY9SI,tsd,alpha,-0.4875652607624623,11.409477745304189,2.640625,6.390625,3.784375,LN,HP,LNP
AY9SI,tsd,beta,2.395452049049517,40.85910808909366,2.640625,6.390625,3.784375,LN,HP,LNP
AY9SI,tsd,gamma,-1.5689162068422178,34.332042389078396,2.640625,6.390625,3.784375,LN,HP,LNP
AY9SI,aem,delta,0.014966653331732083,2.358431474358362,7.421875,3.709375,7.159375,HN,LP,HNP
AY9SI,aem,theta,-0.36148133957508577,9.705635429434201,7.421875,3.709375,7.159375,HN,LP,HNP
AY9SI,aem,alpha,-1.1671737415066321,12.444624870254342,7.421875,3.709375,7.159375,HN,LP,HNP
AY9SI,aem,beta,0.609308068510245,39.704103378593125,7.421875,3.709375,7.159375,HN,LP,HNP
AY9SI,aem,gamma,0.5304103079007234,34.52099687647831,7.421875,3.709375,7.159375,HN,LP,HNP
