participant,gender,video_id,second,band,frontal_asymmetry,parietal_mean,negativity_rating,positivity_rating,net_predisposition_rating
SDE14,Female,blf,0,delta,-0.1398706074954026,9.067880047073388,1.665625,3.540625,5.678125
SDE14,Female,blf,1,delta,-1.4507628763162157,4.1037319405073385,1.665625,3.540625,5.678125
SDE14,Female,blf,2,delta,-1.146307318354568,1.8019030342656808,1.665625,3.540625,5.678125
SDE14,Female,blf,3,delta,-0.6820119601450061,1.6999804262646385,1.665625,3.540625,5.678125
SDE14,Female,blf,4,delta,-0.45562099060603645,1.6813231364220207,1.665625,3.540625,5.678125
SDE14,Female,blf,5,delta,-0.5178633313082746,1.5629489927441382,1.665625,3.540625,5.678125
SDE14,Female,blf,6,delta,-0.5312798722916017,1.445404792409963,1.665625,3.540625,5.678125
SDE14,Female,blf,7,delta,-0.18572497143064015,1.4786662745110153,1.665625,3.540625,5.678125
SDE14,Female,blf,8,delta,0.3398213430577739,1.6507279712381906,1.665625,3.540625,5.678125
SDE14,Female,blf,9,delta,0.5999337424607407,1.768045878262667,1.665625,3.540625,5.678125
SDE14,Female,blf,10,delta,0.4292888876611609,1.6748108310948835,1.665625,3.540625,5.678125
SDE14,Female,blf,11,delta,0.1608840539218972,1.4375783375110567,1.665625,3.540625,5.678125
SDE14,Female,blf,12,delta,0.22723566488733038,1.2330654480464873,1.665625,3.540625,5.678125
SDE14,Female,blf,13,delta,0.691810916237124,1.170917315424425,1.665625,3.540625,5.678125
SDE14,Female,blf,14,delta,1.228900669659211,1.230732510370676,1.665625,3.540625,5.678125
SDE14,Female,blf,15,delta,1.5498225675286095,1.307205110039299,1.665625,3.540625,5.678125
SDE14,Female,blf,16,delta,1.721411046319192,1.3283335073501932,1.665625,3.540625,5.678125
SDE14,Female,blf,17,delta,1.8515395755583461,1.2759153397870278,1.665625,3.540625,5.678125
SDE14,Female,blf,18,delta,1.9714904449872808,1.1940759342713356,1.665625,3.540625,5.678125
SDE14,Female,blf,19,delta,2.1161595110932003,1.174771533622847,1.665625,3.540625,5.678125
SDE14,Female,blf,20,delta,2.2451904290761293,1.253419022742269,1.665625,3.540625,5.678125
SDE14,Female,blf,21,delta,2.3404539043865675,1.3655051609568598,1.665625,3.540625,5.678125
SDE14,Female,blf,22,delta,2.355985793068574,1.4006922678586295,1.665625,3.540625,5.678125
SDE14,Female,blf,23,delta,2.2022978022771307,1.3226252364947166,1.665625,3.540625,5.678125
SDE14,Female,blf,24,delta,2.116106307758179,1.2440259174375359,1.665625,3.540625,5.678125
SDE14,Female,blf,25,delta,2.3362667260463894,1.2902618371743535,1.665625,3.540625,5.678125
SDE14,Female,blf,26,delta,2.689513933576611,1.4516697791333573,1.665625,3.540625,5.678125
SDE14,Female,blf,27,delta,2.8709172761589428,1.6038587506063346,1.665625,3.540625,5.678125
SDE14,Female,blf,28,delta,2.6741328374946898,1.6467404296692703,1.665625,3.540625,5.678125
SDE14,Female,blf,29,delta,2.2747028238221487,1.6028117529412573,1.665625,3.540625,5.678125
SDE14,Female,blf,30,delta,2.0759032341318537,1.56136356058924,1.665625,3.540625,5.678125
SDE14,Female,blf,31,delta,2.1531184893137167,1.572012086016121,1.665625,3.540625,5.678125
SDE14,Female,blf,32,delta,2.2094934903145926,1.6582881927426334,1.665625,3.540625,5.678125
SDE14,Female,blf,33,delta,1.9955676508732332,1.8132476191361526,1.665625,3.540625,5.678125
SDE14,Female,blf,34,delta,1.559379874803136,1.9843512029549473,1.665625,3.540625,5.678125
SDE14,Female,blf,35,delta,1.1658099006148208,2.099789975026636,1.665625,3.540625,5.678125
SDE14,Female,blf,36,delta,1.0030870070436329,2.0819884290256376,1.665625,3.540625,5.678125
SDE14,Female,blf,37,delta,1.015449051824133,1.9786803786519935,1.665625,3.540625,5.678125
SDE14,Female,blf,38,delta,1.0511371459541718,1.9382491578863499,1.665625,3.540625,5.678125
SDE14,Female,blf,39,delta,1.0387934269982402,2.019571429767205,1.665625,3.540625,5.678125
SDE14,Female,blf,40,delta,0.9867347588529221,2.1256070697070584,1.665625,3.540625,5.678125
SDE14,Female,blf,41,delta,0.9487473395118631,2.1156809003730315,1.665625,3.540625,5.678125
SDE14,Female,blf,42,delta,0.9500327347889201,2.0002435104162286,1.665625,3.540625,5.678125
SDE14,Female,blf,43,delta,0.897157224651703,1.9288307498533568,1.665625,3.540625,5.678125
SDE14,Female,blf,44,delta,0.7113379481553077,1.9817121837009866,1.665625,3.540625,5.678125
SDE14,Female,blf,45,delta,0.4817102282629979,2.068995827421046,1.665625,3.540625,5.678125
SDE14,Female,blf,46,delta,0.37120116911317336,2.051981205265792,1.665625,3.540625,5.678125
SDE14,Female,blf,47,delta,0.4346094514407728,1.9300923126750054,1.665625,3.540625,5.678125
SDE14,Female,blf,48,delta,0.5420359743905023,1.8204701117507982,1.665625,3.540625,5.678125
SDE14,Female,blf,49,delta,0.5461499703817987,1.8013926665287006,1.665625,3.540625,5.678125
SDE14,Female,blf,50,delta,0.4679478040475482,1.841585600954323,1.665625,3.540625,5.678125
SDE14,Female,blf,51,delta,0.4288949212471178,1.8226163316376691,1.665625,3.540625,5.678125
SDE14,Female,blf,52,delta,0.5092222416880086,1.7084822043170553,1.665625,3.540625,5.678125
SDE14,Female,blf,53,delta,0.5837839409460397,1.5880183047484229,1.665625,3.540625,5.678125
SDE14,Female,blf,54,delta,0.3934870786232265,1.5310368615913434,1.665625,3.540625,5.678125
